appid,publisher_id
952860,49018
108800,11960
99830,11960
1049890,31853
1049890,36121
1049890,20690
1111460,27164
2696480,30939
436520,5078
814370,39587
597220,3287
1352080,538
354140,35163
604240,25363
1069740,35347
215280,14510
238370,30027
544750,3686
1281800,34205
678800,28027
1740720,2801
1273710,33755
1059990,17871
621830,27189
718670,43593
403190,24408
2638370,25336
1942120,47326
614570,4616
2791440,13368
1367550,19337
2440510,44472
242550,41792
290080,4913
1007040,9007
1205450,16265
658850,1707
1372110,4087
573100,13927
324160,35367
519190,22431
470310,9447
227860,35032
356570,47855
1042550,3690
257350,4292
652980,6601
2909110,3755
1475380,22122
2495450,20984
690040,34678
327030,39587
458710,19337
443810,38924
360170,505
1849250,11960
423880,26445
753420,38866
1865370,24547
224480,44908
934700,10000
913740,44933
913740,29724
616560,5902
656350,40430
242640,8869
242640,27189
375480,38324
469820,10324
496240,10952
398710,13997
2187290,1707
1295510,37393
926990,46147
300600,10736
234040,10736
214420,10736
586140,16764
1249800,34532
1249800,44878
803330,38924
1043810,38591
2901520,39798
686200,21403
611670,4616
850190,7887
491950,29420
1353300,29824
1293230,11371
505230,47855
2285150,34872
572890,10324
1324130,14348
650700,29724
2668510,33834
1891700,5948
589590,36578
1021950,36239
1202130,36500
1290490,8983
1136160,7257
1054490,26342
1054490,37853
1054490,46582
515180,45643
209080,26776
360940,42855
298240,33817
226860,37542
2695940,45096
2194530,5524
39500,38924
879160,38267
376870,39715
2340650,48944
1426450,31094
1307890,11680
221260,40930
1895880,31100
3058630,505
40990,267
816090,13927
1615290,3977
2426960,7990
1675900,41112
537180,24201
533300,32128
1372280,22413
2381620,11903
48220,41792
214510,43474
40950,13566
50640,38924
50620,38924
449960,40372
930210,18156
230230,22407
1273400,45643
979110,6088
462770,38530
482400,31566
1406990,35367
536270,31600
1504500,34452
331600,3686
665360,22906
2408820,13327
352720,8738
57690,21049
298610,5472
799960,21472
799960,46321
251150,44420
251150,24927
1957780,4637
384180,19772
70000,621
1927780,30565
208200,4616
266510,10037
40100,37393
1272320,10851
367580,24303
1207650,41031
252610,33814
446020,12756
248610,21403
351290,38835
312670,32918
598700,34805
673750,6975
212160,27037
625340,37353
378540,13927
2140020,13566
307960,12966
897330,40811
1118310,22838
2677660,4616
900270,30939
589360,3686
948740,37257
1065310,13927
677160,41057
601220,32128
1745510,20850
1745510,6506
2653790,20900
594330,34750
933820,3201
933820,43755
207230,7840
675260,39714
893180,34385
407130,31107
2667970,70
252330,5309
2378620,30519
2378620,15150
368370,34849
327410,14240
321360,7580
502520,15127
1547000,33834
1911390,22370
924140,16833
459220,44472
430960,26207
2140510,10445
1473480,42435
520440,2802
113420,23131
1177980,10897
253430,10520
1498570,34524
2707940,16833
301910,10000
2457220,44472
1941780,1411
408900,9990
408900,27664
937170,37124
215530,27481
747610,24378
366090,30752
919640,12610
2229850,11960
939850,3689
1126290,9270
1473350,7
1110910,31157
39150,37393
1316680,3859
360740,10324
1122720,2511
218680,43474
342180,42648
1846170,9792
2132850,47000
2849080,19337
3156770,39913
1239020,1094
617830,34678
281610,15502
578620,10324
1944430,14277
1062160,11276
584980,43369
304650,13081
210770,7887
410320,9007
435400,1406
218640,35811
632300,30403
1158940,18561
593280,21299
2375550,34385
297130,10324
1382070,40522
694280,32918
587620,6313
633460,5096
474750,10324
719890,35006
1606180,49378
1262600,11960
2058180,34385
2688950,14347
351920,9339
2140330,11960
291860,39922
292000,41028
700030,22222
868360,29606
1003590,12254
2668080,2141
1321440,32763
999220,14277
1349230,8087
1349230,40529
951440,43086
489630,36500
427100,1478
252530,1478
897450,39587
758190,25522
677120,8395
1764390,28238
1926680,38405
1359980,34182
1359980,18265
1123770,13927
2570630,12938
899440,3686
777130,34744
359050,46934
916840,36385
217200,39589
206480,37475
2190290,9270
328080,36269
266010,40403
1178030,38609
595520,37393
1202900,47947
673610,2700
1740100,47
